Date,BTC,LTC,ETH,BCH,NEO,DASH,XRP,dr_BTC,dr_LTC,dr_ETH,dr_BCH,dr_NEO,dr_DASH,dr_XRP
2020-03-02,8943.22,62.0,233.05,342.03,12.175,91.612,0.24128,0.05033078205027319,0.0932816081819785,0.085923302735194,0.11410423452768725,0.08405306740272467,0.09077487260084771,0.07292778370686581
2020-03-03,8771.1,60.97,224.85,330.11,11.553,88.457,0.23401,-0.019245864464924156,-0.01661290322580644,-0.03518558249302728,-0.03485074408677591,-0.05108829568788498,-0.03443871981836444,-0.03013096816976124
2020-03-04,8726.86,60.01,222.88,317.51,11.675,86.746,0.23302,-0.005043837146994079,-0.015745448581269472,-0.008761396486546613,-0.038169095150101584,0.010560027698433228,-0.019342731496659327,-0.004230588436391569
2020-03-05,9111.47,62.24,231.87,339.33,12.16,90.786,0.2402,0.044071980070724104,0.037160473254457704,0.0403356066044509,0.06872224496866242,0.04154175588865083,0.0465727526341273,0.030812805767745255
2020-03-06,9130.5,63.25,240.85,350.94,12.284,93.409,0.24323,0.0020885762670568297,0.016227506426735205,0.03872859792124883,0.03421448147820705,0.010197368421052566,0.028892119930385762,0.012614487926727813
2020-03-07,8883.86,60.92,238.33,333.06,11.713,88.242,0.23717,-0.027012759432670674,-0.03683794466403156,-0.010462943740917496,-0.05094888015045307,-0.046483230218170135,-0.055315868920553735,-0.024914689799778067
2020-03-08,8251.33,52.59,209.86,280.05,10.446,77.347,0.20908,-0.0711999063470159,-0.136736703873933,-0.11945621617085556,-0.15916051161952793,-0.10817040894732344,-0.12346728315314714,-0.11843825104355532
2020-03-09,7855.07,48.98,198.13,266.51,9.668,71.259,0.20453,-0.04802377313717909,-0.06864422894086342,-0.05589440579433913,-0.048348509194786726,-0.07447826919394984,-0.0787102279338564,-0.021762004974172577
2020-03-10,7994.39,50.64,202.86,270.57,10.004,75.314,0.21293,0.017736315526150737,0.03389138423846472,0.023873214556099587,0.015233949945593128,0.03475382705833674,0.056905092690046066,0.041069769715934124
2020-03-11,7859.25,48.58,192.68,267.22,9.35,72.084,0.20708,-0.016904354178367664,-0.04067930489731442,-0.050182391797298664,-0.012381269172487608,-0.06537385045981603,-0.04288711262182321,-0.027473817686563762
2020-03-12,5768.3,32.91,127.76,170.13,6.322,50.458,0.15535,-0.2660495594363329,-0.32256072457801566,-0.33693170022835794,-0.36333358281565764,-0.32385026737967915,-0.300011098163254,-0.24980683793702918
